country,country_name,ENVIRONMENT/ENERGY,INTERNATIONAL,POLITICS,EDUCATION/FAMILY,SPORTS,TECHNOLOGY/SCIENCE/SOCIAL MEDIA,SOCIAL_LIFE/DAILY,ENTERTAINMENT/ART/MAGAZINE,COMPANY/BUSINESS,ECONOMY,POLICE/ACCIDENT/VIOLENCE,LEGAL/LAW,HEALTH/MEDICAL
US,United States,0.022056033392360234,,0.19497849734378953,,0.11344232228687073,0.08286428029344801,0.13251011889704023,0.055242853528965345,0.08482481659499115,0.0848090058183658,0.08457184416898558,0.056618391095370604,0.0880818365798128
CA,Canada,0.1949728260869565,,,,0.09584030100334448,,0.14659977703455965,0.07303860089186176,0.07303860089186176,0.13827341137123747,0.1652208751393534,,0.11301560758082498
GB,United Kingdom,,0.17546631332178167,,,0.22890972717697822,,0.057248666462813846,0.1477083545680019,0.1485917167804845,0.03720313933340128,,0.12100363537525906,0.08386844698127952
IE,Ireland,,,0.17796150955269277,,0.2520407628170393,,0.05429215682847104,0.18437658410389973,,0.14331661102274118,,0.13386005698404096,0.05415231869111503
AU,Australia,,0.02943486708834594,,,0.12427136301624706,0.1635247426516185,0.1123237835379718,0.153065442969945,,0.1577163173343255,,0.11769812724792261,0.14196535615362355
NZ,New Zealand,0.14142436510857564,,,,0.1859894491473439,,0.10231873389768127,0.13384860753281805,0.017421175315912158,,0.030824438719175562,0.28027235921972765,0.1079008710587658
IN,India,,0.017841844526390285,0.34715238201661264,,0.07079624042413181,0.119554015967023,,0.13267776660334488,0.1255385455854782,0.15506388050806422,,0.03137532436895494,
LK,Sri Lanka,0.23471833799440672,0.137634838194167,0.06272473032361167,,0.12245305633240113,0.11306432281262485,0.11566120655213744,,0.12105473431881741,,0.0926887734718338,,
PK,Pakistan,,0.2562814070351759,0.32148082183067234,,0.07114687360854907,0.028846765472934292,0.14636473506774378,0.0420774759875326,,0.13380192099739202,,,
BD,Bangladesh,0.15701929474384566,0.1758704812597028,0.03481925038811266,,,0.1111111111111111,0.13328897760035485,,,,0.1758704812597028,0.2120204036371701,
MY,Malaysia,0.1400208080457777,,0.09927171839778047,,,0.21523322351309174,0.11678515692734524,,0.05561817235997919,0.16902202184844806,0.011227674700884342,0.19282122420669326,
SG,Singapore,0.020371599203715993,,,,,0.21015262110152622,0.2878898473788985,0.14714664897146648,0.11672196416721964,,0.18742534837425348,,0.030291970802919708
PH,Philippines,0.11127379209370425,,0.1595525021586515,,0.168487442279536,,0.11848181101475391,,,0.17603333708750984,0.2111348875624132,,0.055036227803431315
HK,Hong Kong,,0.13261439813465462,0.12940833576216845,,,0.05566890119498689,0.08394054211600116,0.11075488195861265,0.21801224132905858,0.08831244535120956,0.18128825415330807,,
ZA,South Africa,0.014032612104107871,0.14868819901745584,0.09033657363854918,,0.1964565694575102,0.056940524720393015,0.1258492735444758,,,0.14150203825650673,,0.09943033343785931,0.12676387582314205
NG,Nigeria,0.11367944546611967,0.0868581128872542,0.08643372471353798,,0.15719337954449003,,0.07115575045975385,0.13549299759513367,,0.162370915263828,0.1494412222379403,0.03737445183194228,
GH,Ghana,0.06588570319073199,0.0581192155847518,0.16672060060837487,,0.12154553103359006,,,0.24309106206718012,0.053200440100964336,0.053977088861562356,,0.17280434923305935,0.06465600931978513
KE,Kenya,,0.09613615455381785,,0.040872650808253384,0.09580759626757787,0.09482192140885794,0.10145879879090551,0.09725325272703378,0.22466815613089763,0.06617163884873177,0.09166776186095413,0.09114206860297017,
TZ,Tanzania,0.16412355787123187,0.08280610346110905,0.0805731298846297,0.3094529214737626,0.1935243766282099,0.16951991068105693,,,,,,,
JM,Jamaica,0.027871939736346517,,0.03352165725047081,,0.15216572504708098,,0.14425612052730696,0.1951035781544256,0.05875706214689266,,0.15743879472693031,0.07909604519774012,0.15178907721280602
